City,Surface (m2),Real Price (TND),ML Baseline (TND),ML Error (%),RAG Output (TND),RAG Error (%),Latency (s)
Tunis,120.0,640000.0,950786.14,48.56,315000.0,50.78,14.37
Tunis,135.0,250000.0,813690.49,225.48,315000.0,26.0,11.03
Tunis,218.0,450000.0,950786.14,111.29,498500.0,10.78,10.99
Tunis,200.0,1300000.0,748961.0,42.39,615500.0,52.65,10.49
Tunis,550.0,670000.0,817811.45,22.06,865000.0,29.1,11.03
Tunis,160.0,280000.0,813690.49,190.6,368500.0,31.61,18.11
Tunis,73.0,75000.0,813690.49,984.92,315000.0,320.0,12.11
Tunis,2153.0,670000.0,748961.0,11.79,595000.0,11.19,11.95
Tunis,10000.0,790000.0,748961.0,5.19,825000.0,4.43,11.87
Tunis,69.0,135000.0,745186.98,451.99,178500.0,32.22,12.58
