source_type,title,category,subcategory,reference,price,price_min,price_max,currency,unit,dimensions,tile_m2,city,supplier,in_stock,description,listing_url,scraped_at,price_norm,price_min_norm,price_max_norm
ecommerce,Grès rectifié brillant RD GRIGIO SUP BRI 80x80 cm,autre,Grès rectifié brillant RD GRIGIO SUP BRI 80x80 cm,"Référence 
fPUO",78.001,,,TND,t,80x80 cm,0.64,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-marbre/29607-gres-rectifie-brillant-rd-grigio-sup-bri-80x80-cm.html,2026-04-05 09:32:27.952402,0.0001066435285530877,,
ecommerce,Grès rectifié MK NUT MATT R9 30x60 cm,autre,Grès rectifié MK NUT MATT R9 30x60 cm,"Référence 
fOHN",46.001,,,TND,t,30x60 cm,0.18,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/30860-gres-rectifie-mk-nut-matt-r9-30x60-cm.html,2026-04-05 09:32:51.841375,6.232471563249178e-05,,
ecommerce,Grès rectifié brillant RD GRIGIO SUP BRI 60x60 cm,autre,Grès rectifié brillant RD GRIGIO SUP BRI 60x60 cm,"Référence 
fNYI",68.0,,,TND,t,60x60 cm,0.36,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-marbre/29606-gres-rectifie-brillant-rd-grigio-sup-bri-60x60-cm.html,2026-04-05 09:32:12.481851,9.279251455249771e-05,,
ecommerce,"Grès mat FI DECO GREY 25X21,6 cm",autre,"Grès mat FI DECO GREY 25X21,6 cm","Référence 
fK6E",42.001,,,TND,t,25x21 cm,0.0525,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-ciment/29475-gres-mat-fi-deco-grey-25x216-cm.html,2026-04-05 09:32:14.036580,5.678486401741729e-05,,
ecommerce,Grès rectifié VS BIANCO MATT R9 80x80 cm,autre,Grès rectifié VS BIANCO MATT R9 80x80 cm,"Référence 
fTFU",126.001,,,TND,t,80x80 cm,0.64,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/29227-gres-rectifie-vs-bianco-matt-r9-80x80-cm.html,2026-04-05 09:32:50.530805,0.0001731217479339816,,
blog_article,Autres imprévus (10%),autre,,,9000.0,,,TND,unité,,,Tunisie,limmobilier.tn (source blog),True,Autres imprévus (10%),https://limmobilier.tn/article/25/prix-des-materiaux-de-construction-en-tunisie-2025-guide-complet.html,2026-04-05 09:33:34.592995,0.012463281171013835,,
ecommerce,"Grès rectifié naturel NB BEIGE 80x80x0,9 cm",autre,"Grès rectifié naturel NB BEIGE 80x80x0,9 cm","Référence 
FRLR",126.001,,,TND,unité,80x80 cm,0.64,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/27788-gres-rectifie-naturel-nb-beige-80x80x09-cm.html,2026-04-05 09:32:18.613251,0.0001731217479339816,,
ecommerce,"Grès rectifié mat MC BEIGE RT 120x278x0,6 cm",autre,"Grès rectifié mat MC BEIGE RT 120x278x0,6 cm","Référence 
FTQC",280.0,,,TND,t,120x278 cm,3.336,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/grande-dalles/30716-gres-rectifie-mat-mc-beige-rt-120x278x06-cm.html,2026-04-05 09:32:47.631551,0.00038640465015144567,,
ecommerce,"Grès rectifié mat MK SAND 7,5x30 cm",autre,"Grès rectifié mat MK SAND 7,5x30 cm","Référence 
fMII",48.001,,,TND,t,5x30 cm,0.015,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/effet-pierre/26932-gres-rectifie-mat-mk-sand-75x30-cm.html,2026-04-05 09:32:21.398731,6.509464144002902e-05,,
ecommerce,Effet Design,autre,Effet Design,,55.985,,,TND,t,120x200 cm,2.4,Tunis,Le CNT – La Maison du Bien-Vivre,True,,https://www.lecnt.com/71301-effet-design,2026-04-05 09:32:09.220681,7.615218526371771e-05,,
