,count,mean,std,min,25%,50%,75%,max,missing_%
surface_m2,1367.0,1.020500278417714,3.827478560136648,-0.5223880597014925,-0.23880597014925373,0.0,0.7611940298507462,29.313432835820894,0.0
log_surface,1367.0,0.13143231413225787,0.77338169881404,-2.3293586004854894,-0.3988839986791576,0.0,0.6011160013208424,2.743168366661091,0.0
rooms,1367.0,12.629114850036576,76.67961603196059,0.0,0.0,0.0,1.0,605.0,0.0
bathrooms,1367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_rooms,1367.0,12.629114850036576,76.67961603196059,0.0,0.0,0.0,1.0,605.0,0.0
rooms_per_m2,1367.0,4.345778423173089,31.947688235727508,-0.6791044776119404,-0.3880597014925373,-0.007462686567164135,0.6716417910447763,595.3358208955225,0.0
city_tier,1367.0,2.970007315288954,0.17062948636022512,2.0,3.0,3.0,3.0,3.0,0.0
prop_tier,1367.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
city_encoded,1367.0,3.853694220921726,0.6664622427954903,0.0,4.0,4.0,4.0,5.0,0.0
is_sale,1367.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
is_apartment,1367.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
is_villa,1367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_studio,1367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
